"race_dichotomized","exposure","outcome_PC1","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
1,"social_activities2_d","IFN_lambda2_3","social_activities2_dLow",-0.778128264107157,0.276690067622945,-2.81227393087178,-1.34687284348621,-0.209383684728107,0.00923638881123148
0,"social_activities2_d","sTREM_1","social_activities2_dLow",-0.348761584865892,0.418721119705033,-0.832920931028214,-1.18453243780396,0.487009268072179,0.407848660800591
1,"social_activities2_d","sTREM_1","social_activities2_dLow",0.136303254447813,0.280138458044813,0.48655673840401,-0.439529592959322,0.712136101854948,0.630648812799802
0,"social_activities2_d","sRAGE","social_activities2_dLow",-0.438486854546864,0.414213106998202,-1.0586020749671,-1.26525967646205,0.388285967368321,0.293582734806196
1,"social_activities2_d","sRAGE","social_activities2_dLow",-0.0944663342961454,0.357626419305366,-0.264148086373573,-0.829577967214766,0.640645298622475,0.793748359422716
0,"social_activities2_d","GM_CSF","social_activities2_dLow",0.12150246930171,0.297233892201511,0.408777304639731,-0.471778862631961,0.714783801235381,0.68400677634148
1,"social_activities2_d","GM_CSF","social_activities2_dLow",-0.407258756531807,0.198145706008986,-2.05534989748068,-0.814553088373954,3.55753103395418e-05,0.0500185847523051
0,"isolation_cat_d","IL_10","isolation_cat_dHigh",-0.566444193120501,0.289439194863145,-1.95704038421034,-1.14416724404969,0.0112788578086929,0.0545111717478772
1,"isolation_cat_d","IL_10","isolation_cat_dHigh",-0.166483718348753,0.360001098323301,-0.462453362292915,-0.906476573896066,0.57350913719856,0.647603167219243
0,"isolation_cat_d","IFN_gamma","isolation_cat_dHigh",-0.71285251068526,0.297733821385802,-2.39426111339077,-1.3071317054472,-0.118573315923323,0.0194590177723784
1,"isolation_cat_d","IFN_gamma","isolation_cat_dHigh",0.11105872183852,0.472855979443868,0.234867965440847,-0.86091066414666,1.0830281078237,0.81615112282913
0,"isolation_cat_d","IL_12p70","isolation_cat_dHigh",-0.464938575185652,0.29663464322088,-1.5673778697502,-1.05702380114784,0.127146650776538,0.121737587704991
1,"isolation_cat_d","IL_12p70","isolation_cat_dHigh",0.0247365082471972,0.386542449688689,0.0639942864415522,-0.769812876373034,0.819285892867429,0.949464256796898
