"","exposure","outcome","term","estimate","std.error","statistic","p.value","ci_lower","ci_upper"
"885","isolation_item_communicate","IFN_lambda1","isolation_item_communicate0",0.0995776686458334,1.08288638287931,0.0919557861472636,0.926918985448499,-2.02287964179761,2.22203497908927
"886","isolation_item_visit_d","beta_NGF","isolation_item_visit_dHigh",-0.0155838228055556,0.172980251271933,-0.0900901848099244,0.928387177684569,-0.354625115298544,0.323457469687433
"887","social_activities_nominal","VEGF","social_activities_nominalGood",0.0297737596853132,0.339716349836893,0.0876429989301615,0.930330593810196,-0.636070285994997,0.695617805365623
"888","isolation_item_communicate","IFN_alpha2","isolation_item_communicate4",0.0248522031339287,0.285088216299796,0.0871737297896395,0.930709500337544,-0.533920700813672,0.583625107081529
"889","race_dichotomized","sTREM_1","race_dichotomized",0.0212697651601147,0.244351147937208,0.087045898247961,0.930800814265496,-0.457658484796814,0.500198015117043
"890","social_activities_nominal","IFN_beta","social_activities_nominalFair",0.0352565567435886,0.411485488118574,0.0856811668007818,0.93188620522157,-0.771254999968816,0.841768113455993
"891","isolation_item_communicate","TNF","isolation_item_communicate2",-0.036390355142857,0.43033863212629,-0.0845621388046277,0.932780267213266,-0.879854074110386,0.807073363824672
"892","race_f","TNF","race_fOther",0.040479593664865,0.490713390527711,0.0824913166142326,0.93441768749932,-0.921318651769449,1.00227783909918
"893","social_activities_nominal","IL_18","social_activities_nominalFair",-0.0390669476538449,0.487511168992171,-0.0801354925562172,0.936284989828836,-0.9945888388785,0.91645494357081
"894","social_activities_ordinal","TNF","social_activities_ordinal.Q",-0.0221040647694838,0.277600247946759,-0.0796255224300924,0.936689595246471,-0.566200550745131,0.521992421206163
"895","isolation_cat_nominal","IL_8","isolation_cat_nominalMost Isolated",-0.0308671866924999,0.388006293633892,-0.0795533144666593,0.936746885696757,-0.791359522214927,0.729625148829928
"896","isolation_item_communicate","IFN_lambda2_3","isolation_item_communicate3",-0.0253104489951923,0.326841129510518,-0.0774396081456993,0.93843012746752,-0.665919062835808,0.615298164845423
