"race_dichotomized","exposure","outcome","term","estimate","std.error","conf.low","conf.high","statistic","p.value"
1,"isolation_cat_nominal","IFN_lambda1","isolation_cat_nominalSomewhat Isolated",-0.177934600833333,0.372664391553031,-0.940118861004942,0.584249659338275,-0.477466065624927,0.63660932421444
1,"isolation_cat_nominal","IFN_lambda1","isolation_cat_nominalVery Isolated",-0.670343214142857,0.418838617932353,-1.526964370808,0.186277942522286,-1.60048091422918,0.120331015977386
1,"isolation_cat_nominal","IFN_lambda1","isolation_cat_nominalMost Isolated",-0.520236674428572,0.418838617932353,-1.37685783109371,0.336384482236571,-1.24209337953788,0.224153534747809
0,"isolation_cat_nominal","IFN_lambda2_3","isolation_cat_nominalSomewhat Isolated",-0.331042357883839,0.319349763016308,-0.967965376878896,0.305880661111219,-1.03661375777171,0.303483649057977
0,"isolation_cat_nominal","IFN_lambda2_3","isolation_cat_nominalVery Isolated",-0.439511121111112,0.388373377052632,-1.21409739752879,0.335075155306562,-1.13167160026922,0.261634525368803
0,"isolation_cat_nominal","IFN_lambda2_3","isolation_cat_nominalMost Isolated",-0.435327625611112,0.444937599562328,-1.32272768660061,0.452072435378382,-0.978401524257178,0.331245128374804
1,"isolation_cat_nominal","IFN_lambda2_3","isolation_cat_nominalSomewhat Isolated",-0.687552861690475,0.384185256795815,-1.47329993695964,0.0981942135786905,-1.78963885138334,0.0839607709214834
1,"isolation_cat_nominal","IFN_lambda2_3","isolation_cat_nominalVery Isolated",-1.227076416,0.431786952640596,-2.1101798906267,-0.343972941373302,-2.84185617118768,0.00812637472069673
1,"isolation_cat_nominal","IFN_lambda2_3","isolation_cat_nominalMost Isolated",-0.796960125142857,0.431786952640596,-1.68006359976955,0.0861433494838404,-1.84572535197982,0.075164325626855
0,"isolation_cat_nominal","sTREM_1","isolation_cat_nominalSomewhat Isolated",-0.9716364159899,0.374803249300793,-1.71915792600783,-0.22411490597197,-2.59239058840209,0.0115946131199095
0,"isolation_cat_nominal","sTREM_1","isolation_cat_nominalVery Isolated",-0.962060495206351,0.45581246808007,-1.87114979755326,-0.05297119285944,-2.11064980135065,0.0383766483398153
0,"isolation_cat_nominal","sTREM_1","isolation_cat_nominalMost Isolated",-1.097862994,0.522198784420391,-2.13935562936983,-0.0563703586301731,-2.10238519650819,0.0391179667454243
1,"isolation_cat_nominal","sTREM_1","isolation_cat_nominalSomewhat Isolated",0.394222592797619,0.330864696952619,-0.282471692945133,1.07091687854037,1.19149185884305,0.243120872665375
1,"isolation_cat_nominal","sTREM_1","isolation_cat_nominalVery Isolated",0.111683461857143,0.37185981686292,-0.648855258308941,0.872222182023227,0.300337537944609,0.766062227887643
1,"isolation_cat_nominal","sTREM_1","isolation_cat_nominalMost Isolated",0.431784978,0.371859816862921,-0.328753742166084,1.19232369816608,1.16114986997686,0.255049814784016
0,"isolation_cat_nominal","sRAGE","isolation_cat_nominalSomewhat Isolated",-0.799857515555556,0.378370163160349,-1.55449301094948,-0.0452220201616362,-2.11395504570106,0.0380836069918083
0,"isolation_cat_nominal","sRAGE","isolation_cat_nominalVery Isolated",-0.894515248603175,0.460150327511082,-1.81225613878494,0.0232256415785922,-1.94396308145979,0.0559200880612877
0,"isolation_cat_nominal","sRAGE","isolation_cat_nominalMost Isolated",-0.866072056999999,0.527168426719563,-1.91747633140352,0.185332217403526,-1.64287543241037,0.104893649783883
1,"isolation_cat_nominal","sRAGE","isolation_cat_nominalSomewhat Isolated",0.392371365273809,0.412060698428088,-0.450387389509221,1.23513012005684,0.952217396055026,0.348856392260623
1,"isolation_cat_nominal","sRAGE","isolation_cat_nominalVery Isolated",0.733695096857143,0.463116244389829,-0.213483973922108,1.68087416763639,1.58425688095612,0.123981146023748
1,"isolation_cat_nominal","sRAGE","isolation_cat_nominalMost Isolated",0.155653774857143,0.463116244389829,-0.791525295922108,1.10283284563639,0.336100874764654,0.739214594289183
0,"isolation_cat_nominal","GM_CSF","isolation_cat_nominalSomewhat Isolated",-0.0938089222828283,0.284571582689301,-0.661369047753833,0.473751203188177,-0.329649648767811,0.742649125251947
0,"isolation_cat_nominal","GM_CSF","isolation_cat_nominalVery Isolated",-0.177494127055555,0.34607831093525,-0.867725553963907,0.512737299852796,-0.512872726915163,0.60965510805149
0,"isolation_cat_nominal","GM_CSF","isolation_cat_nominalMost Isolated",-0.00436070277777734,0.396482514060812,-0.795120142989002,0.786398737433447,-0.0109984743920094,0.991255950054211
1,"isolation_cat_nominal","GM_CSF","isolation_cat_nominalSomewhat Isolated",0.115323806035714,0.30599841055975,-0.510513213686579,0.741160825758007,0.37687714071703,0.709008649259488
1,"isolation_cat_nominal","GM_CSF","isolation_cat_nominalVery Isolated",0.0188915338571427,0.343912523636174,-0.684488553784224,0.72227162149851,0.0549312181405993,0.956569960178409
1,"isolation_cat_nominal","GM_CSF","isolation_cat_nominalMost Isolated",0.00563042471428558,0.343912523636174,-0.697749662927082,0.709010512355653,0.0163716768867714,0.987049993695129
