"","exposure","outcome_PC2","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
"104","social_activities_nominal","VEGF","social_activities_nominalGood",0.0297737596853132,0.339716349836893,0.0876429989301615,-0.643973496339513,0.703521015710139,0.930330593810196
"105","social_activities_nominal","VEGF","social_activities_nominalFair",-0.529520768602562,0.531136973714882,-0.996957084156623,-1.58290568453477,0.523864147329646,0.321121730102108
"106","social_activities_nominal","IL_18","social_activities_nominalVery good",0.0275421707423804,0.257727533092969,0.10686545753125,-0.48359960476182,0.538683946246581,0.915103588220605
"107","social_activities_nominal","IL_18","social_activities_nominalGood",0.0891901935279718,0.311813191381477,0.286037268445308,-0.529217728806295,0.707598115862239,0.775424071630374
"108","social_activities_nominal","IL_18","social_activities_nominalFair",-0.0390669476538449,0.487511168992171,-0.0801354925562172,-1.00593036929261,0.927796473984921,0.936284989828836
"109","social_activities_nominal","VILIP_1","social_activities_nominalVery good",-0.140912285253265,0.251388914412688,-0.560535000449301,-0.639482905601473,0.357658335094942,0.576331831819282
"110","social_activities_nominal","VILIP_1","social_activities_nominalGood",0.159140415213286,0.304144375807412,0.523239710715728,-0.444058220160058,0.762339050586629,0.60193131820678
"111","social_activities_nominal","VILIP_1","social_activities_nominalFair",-0.0212771810897404,0.475521191182913,-0.044744969276366,-0.964361309642776,0.921806947463295,0.964397222896621
"112","social_activities_nominal","sRAGE","social_activities_nominalVery good",-0.109112190470247,0.288181313061455,-0.378623406601589,-0.680651855858765,0.462427474918271,0.705746837644944
"113","social_activities_nominal","sRAGE","social_activities_nominalGood",-0.265579844059442,0.348657878511499,-0.761720472783417,-0.957060513304077,0.425900825185193,0.447967479647435
"114","social_activities_nominal","sRAGE","social_activities_nominalFair",-0.316887591256409,0.545116802718976,-0.581320534747438,-1.3979982008025,0.764223018289683,0.562294434855951
"115","social_activities_nominal","sTREM_1","social_activities_nominalVery good",-0.280600304492743,0.280586034869895,-1.00005085649703,-0.837076526974361,0.275875917988874,0.319629535026994
